sentence,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止
コミュニケーション活性と表彰制度に関連づけ、サンコレ（健康インセンティブ/100日プロジェクトを含む）を紹介すると興味をもって聞いていただいた。,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,
離職防止、モチベーションアップ。,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,
共済会としては業務上のコミュニケーション活性化を図るのではなく、遊びやプライベートなどオフの場（業務外）で学生講師がコミュニケーションを図る支援をしてあげたい。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
WLB推進のため重点項目は「育児介護自己啓発」だが、保養所代替案も含めての検討になるかもしれない。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
多様なリクエストに応えるために、育児介護宿泊に特化した内容にしたい。,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
課題感は育児介護の面で感じており、今年の10月から男女共同参画社会推進室を設置し、女性活躍推進に力を入れる。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
(１)組合側から育児介護への支援充実の要求がされた。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
組合側から育児介護への支援充実の要求があった。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
共済会の存在意義は「育児、介護、健康」の支援にしぼられているため、旅行は不要、関心なし。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
育児、介護、健康の切り売りを強く希望されている。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
女性の働き方支援に関心が高く、今後育児、介護などの提案を厚くしていきたいと考えている。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
福祉センターとしては、育児介護を強化してほしい考え。,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
共済会としてＦＰの専属契約（相談など）やメンタルヘルス、オリジナルセミナーなどを行っているが組合として福利厚生には「育児介護リフレッシュ」メニューの充実を望んでいる。,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
20年オリンピックイヤーに向けたホワイト500又は健康経営等の具体策も未。,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
ホワイト500をとるために、現在社内で健康について会議を重ねている。,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
ホワイト500取得目指し有給取得推進していたため、旅行実績も伸びたとのこと。,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
【健康増進コミュニケーション活性化】,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,
弊社の考える健康とは「健康への無関心層」をTGTに社員の意欲向上へ寄与するような制度を構築することホワイト500や健康銘柄取得維持のためのコンテンツ提供（取得後のケア）することだという考えのもと、、これに適応できる制度として「オフィスDE健康（仮称）」を留美さんより紹介。,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
そもそもメンタル不調となる前のリフレッシュや健康意識向上社員感コミュニケーション活性化を図るとすれば100日プロジェクトが適しているのではないかという視点で紹介。,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,
"「ヘルスケア」\健康経営\"" \""ホワイト500\""について非常に関心が強い。""",0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
「え」の導入は今のところ厳しい部分があるが、ホワイト500関連の事業については関心が強く、話が膨らむ可能性があり,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
産後やめる方はなし、ここ10年間新入社員で辞めたのは一人のみ、離職率はとても少なく、ホワイト100に選ばれた,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
詳しくは教えていただけなかったが過去にR社サービスを検討したことがあることが会話の随所に伺えたことから、「働き方改革」や「人材確保」などここ数年での福利厚生OSをめぐる環境変化や「え」の特徴について情報交換し少なからず関心はもっていただけた様子。,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
21世紀職業財団の指定を受け、ワークライフバランスの推進を取り組んでいるという自負があるようで,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
最も重要されているのは、業務効率化、集客、採用この3つが多く声があがっている。,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
働き方改革事例、健康経営等のキーワードでのご挨拶でも、独自で検討しているとの事。,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,
現在、社内でのコミューニケーション活性化とワークライフバランス整備に向けて施策を福利厚生部分含め考えておりそれに対してサンコレ提案。,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,
従業員から見ると、身近で割引率が高いサービスは魅力的だが、経営層の立場に立ってみると、「健康経営」や「働き方改革」に通ずるような,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,
改革派の担当者であり、風土改革を行うことで社内のモチベーション維持、働き方改革を取り組みたい。,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,
女性の活躍推進、ワークライフバランスの推進を経営計画として考えている,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
 女性活躍が目下の課題であり、従来の『余暇の活用』から『ワークライフバランス』の支援への制度設計を検討,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
働き方改革のプロジェクトが発足しており、健康経営に興味あり。,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,
社内コミュニケーションの活性にも役立つ,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
部署ごとでのコミュニケーション活性化が目的。,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
サンコレ導入により、契約社員と正社員の公平化、既存顧客の解約抑制に努めても評価されない社内風土の改善、社内コミュニケーション活性化等を求めている。,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,
社内コミュニケーションをもっと活性化させていきたいとの考え有。,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
健康経営、社内間コミュニケーションの一つとして「減量プログラム」「Habido」を紹介。,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
その理由は、「顧客接点をどう持つべきか」、「顧客とのコミュニケーションの在り方」を現在検討している段階であるため。,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
また、フロアごとに部署が分かれているため、部署をまたいでのコミュニケーション活性化が課題。,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
OS導入のねらいは、職員のリフレッシュ、コミュニケーションの活性、人材の定着。,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
昨年同様、別の制度導入に向け「え」に投資する余裕がない（風土改革で、勤務管理を手書き申請から、ICカードに切り替えなど）,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
目的：サンクスカードを使った社員のモチベーションUPと、社員どうしのコミュニケーション。,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,
ポイントは地域開発と利用促進（継続的な冊子等の作成）と利便性,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
働き方改革の推進、フレキシブルな時間労働、Web化推進、労働組合様含めた利用促進強化,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
社員目線で制度の周知を検討することが、働き方改革にも通じるとの感想をいただく。,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
東京本社社員現状制度知らないため、周知活動強化求める声多い,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
重視するのは導入後の利用促進サービスの使いやすさテルモの重視するテーマを今後一緒考えてくれるか送付資料,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
導入に伴い、労組として「え」の周知強化を実施したい意向（労組として従業員満足度を向上することを責務としてとらえている）。,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
共済会としても認知度向上共済会加盟企業を増やすといったミッションもあるため2017年度もJBFと共存して利用促進を図る。,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
百五として地域創生の一つの手段として【え】を活用し自社職員の利用促進,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
今回のOS導入の背景は旅行健康増進をメインに狙っている為、獲得後の利用促進も上記意識要。,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
社内周知が思ったようにできなかった定着が低い,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
労組について担当者より労働組合へ検討状況を伝えたところ、公平性を担保するため「フルPKG」の希望あり。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
全国に事業所があるため地域の公平性をしたいというのが組合の要望。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
出向者が増えている中での公平性な制度実現と利便性向上,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
パッケージ導入よりもカフェ制度をご要望で、理由としては利用者の偏りを無くし、満足度と公平性を高めたいから。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
しかし福祉基金では、公平性を持った制度でないと受け入れが難しいので採用は困難とのこと。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
そのため横断的で公平性のある評価制度の確立が課題。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
利用する行員が偏っており、公平性の観点から是正したいとのこと。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
「え」導入により現行制度を再構築することで、より多くの社員が利用したくなる公平性のある制度が実現できる旨をプレゼンしたところ好感触。,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
社員が公平に使えるような福利厚生がない,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
先方の最大の目的は利用率の向上と組合員全員に対しての平等感,0,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,
小1の壁に悩まされ、離職される方が多いため、育児関係にも力をいれていきたいと考えてはいるとのこと。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
人材不足人材定着を課題として、認識している,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
先方の希望としては、介護離職を防ぐためにいかに安心を担保できるかというところを主軸において、検討している。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
理由としては、同期がすごく仲良く助け合っているため、若手の離職率も低い。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
また、従業員宅の電気代を会社が一部負担してあげることで福利厚生とし、従業員は電気代が劇的に安くなるメリットは離職防止、囲い込みになるというもの。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
自転車業界は狭いが、福利厚生重視している同業界他社へ転職する人も多く離職防止策の１つとして導入を検討していきたいとのこと。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
 離職率は低い（ニッチな分野での多能工化から）,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
導入のメリットとして大きいと介護について現在介護で離職しても5年以内ならば復職できる制度があるものの、社として更なる取組が必要との認識で「え」の介護用品割引,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
現状課題は学生アルバイトやパートナー社員の早期離職。,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
看護師の採用で特別困っていることは無いとのことだが、今後の人材確保と離職防止の観点から有用と説明,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
事、病院としてネームバリューがあるため離職や採用での課題が薄いため,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
