sentence,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止
昨年からのTGTであったが、経費削減のための出張旅行規定改定などの業務多忙のため検討が停滞している情況であった。,0,0,1,0,0,0,0,0,0,0,0
経費削減、利用率向上のどちらに重きをおかれるが確認したところ、「働き方改革」を標榜する会社の方向性に沿い、予算は現行通り（690円）で構え、利用率アップに主眼を置かれる意向。,0,0,1,0,0,0,0,0,0,0,0
離職防止についての「介護」については「え」だけで対応するものではなく、公的制度、会社制度を勘案しつつ考える必要がある旨を説明。,0,0,0,0,0,0,0,0,0,0,1
離職者を繋ぎとめるために準備する育児制度と介護制度、それぞれの内容を十分アピールすること。,0,0,0,0,0,0,0,0,0,0,1
安定した採用離職率も低いが、これからの企業運営において人的な基盤を固める,0,0,0,0,0,0,0,0,0,0,1
導入経緯：Ｒ社が定期的に営業に来る中、経費節減のタイミング（制服をなくす、永年勤続も旅行もやめる）があり、その代わりに福利厚生を導入しようということとなった。,0,0,1,0,0,0,0,0,0,0,0
特にシフト制で働く従業員の離職率高い。,0,0,0,0,0,0,0,0,0,0,1
（５）ポイントを貯める楽しさで離職防止にも繋がるとアピール,0,0,0,0,0,0,0,0,0,0,1
ポイントは地域貢献として県内にお金が落ちるようにする事、行員が広く使える事の2点。,1,0,0,0,0,0,0,0,0,0,0
産後やめる方はなし、ここ10年間新入社員で辞めたのは一人のみ、離職率はとても少なく、ホワイト100に選ばれた,0,0,0,0,0,1,0,0,0,0,0
キーマンである総務副部長は、福利厚生見直しにおいて社員同士のコミュニケーション活性組織の一体感多様なニーズに応えるメニューが必要との考えを持っている。,0,0,0,0,0,0,0,0,1,0,0
OSGでも若手離職者出ている。,0,0,0,0,0,0,0,0,0,0,1
百五として地域創生の一つの手段として【え】を活用し自社職員の利用促進,0,0,0,0,0,0,0,0,0,1,0
永年勤続表彰近年は離職率抑止の為、5年目から制定。,0,0,0,0,0,0,0,0,0,0,1
社員のスキルアップ&人材の確保に課題を感じていたため、導入組織の事例（募集要項への記載や無料eラーニング、補助金の適応など）をアピールすると好評であった。,0,1,0,0,0,0,0,0,0,0,0
WLBの実現に向けた心身リフレッシュ両立支援,0,0,0,0,0,0,0,1,0,0,0
離職率に関しても課題を感じており、採用の観点からも「え」を会社に提案するとお言葉頂く。,0,0,0,0,0,0,0,0,0,0,1
パッケージ導入よりもカフェ制度をご要望で、理由としては利用者の偏りを無くし、満足度と公平性を高めたいから。,0,0,0,0,0,0,1,0,0,0,0
共済会にて、グローバル化に備え、社内スキルアップ促進の為に英語資格取得への支援制度を考えており支援対象をどうするか等で情報が欲しいと相談を受けている、とのこと。,0,1,0,0,0,0,0,0,0,0,0
昨年春に社のグローバル化に伴って、英語教育を実施したい意向があったが、特に何もしていない。,0,1,0,0,0,0,0,0,0,0,0
活動内容は、社内コミュニケーション活性化を目的にしたもの,0,0,0,0,0,0,0,0,1,0,0
現行制度（下記制度の目的はコミュニケーション活性）,0,0,0,0,0,0,0,0,1,0,0
制度としては課題改善すると思うが、会社の方針はあくまで「コミュニケーション活性」なので各自での利用サービスというのは話として通りにくいかもしれないとのこと。,0,0,0,0,0,0,0,0,1,0,0
社員スタッフのモチベーション向上; 社内コミュニケーションの活性化; 正社員の定着率向上; 会社への帰属意識の向上; 表彰報奨制度の見直し; ワークライフバランス; 永年勤続報奨をお考え,0,0,0,1,0,0,0,0,1,0,1
健康経営、社内間コミュニケーションの一つとして「減量プログラム」「Habido」を紹介。,0,0,0,0,0,0,0,0,1,0,0
今回の面談では福利厚生が如何に人材のモチベーションアップに繋がるか、採用時のアピールポイントになるか、就活生が募集要項の福利厚生欄をどれほど気にしているかをアピールしたところ、もう一度担当者のやる気に火をつける形となった。,0,0,0,1,0,0,0,0,0,0,0
法改正働き方改革健康増進(ホワイト500)は意識するも具体策を講じるまで至らず,0,0,0,0,0,1,0,0,0,0,0
今年度中にホワイト500申請を予定しているが、宣言の作り方など、手続きを自社スタッフだけで進めることに限界を感じていたとのこと。,0,0,0,0,0,1,0,0,0,0,0
複利厚生PKG切り替えには時間がかかるため、ホワイト500取得支援によって、まずは健康支援サービスの販売につなげたい。,0,0,0,0,0,1,0,0,0,0,0
社宅管理代行で、入居者の管理や賃料も管理できるような業者を探しているとのこと,0,0,1,0,0,0,0,0,0,0,0
アルバイト（最大700名）のモチベーション向上離職防止（特に中長期勤務しているフリーター）,0,0,0,1,0,0,0,0,0,0,1
アルバイト（最大700名）のモチベーション向上離職防止（特に中長期勤務しているフリーター）,0,0,0,1,0,0,0,0,0,0,1
ホワイト500取得したが、毎年続けるのは辛く、担当者疲弊してきている。,0,0,0,0,0,1,0,0,0,0,0
また、コミュニケーションの活性化の一つとしてHabi,0,0,0,0,0,0,0,0,1,0,0
しかし福祉基金では、公平性を持った制度でないと受け入れが難しいので採用は困難とのこと。,0,0,0,0,0,0,1,0,0,0,0
社としてWLB推進、働きやすい職場づくり推進など取組むことになった。,0,0,0,0,0,0,0,1,0,0,0
WLB推進のため重点項目は「育児介護自己啓発」だが、保養所代替案も含めての検討になるかもしれない。,0,0,0,0,1,0,0,0,0,0,0
WLB推進、働き方改革推進、採用者対策など、福利厚生制度の再構築の必要性が高まっている。,0,0,0,0,1,0,0,1,0,0,0
上層部の意識改革及び予算承認を得るため、WLB推進を前面に押し出したい。,0,0,0,0,0,0,0,1,0,0,0
そのため横断的で公平性のある評価制度の確立が課題。,0,0,0,0,0,0,1,0,0,0,0
切り口としては「スキルアップ」「採用」「従業員定着」の観点から。,0,1,0,0,0,0,0,0,0,0,0
生活習慣に関する施策やメンタルヘルス、医療に関する内容など、幅広く情報を収集中とのこと。,0,0,0,0,0,1,0,0,0,0,0
課題感としてはメンタルヘルスや新卒採用や離職やモチベーションなど広くぼやっとしている状態。,0,0,0,1,0,1,0,0,0,0,1
飲み会補助などの自社制度が受けている為、風土が変わる事が急務。,0,0,0,0,0,0,0,0,1,0,0
今回のOS導入の背景は旅行健康増進をメインに狙っている為、獲得後の利用促進も上記意識要。,0,0,0,0,0,0,0,0,0,1,0
話を聞くと、今回ホワイト500取得の最大の理由は「採用上の有利」な点。,0,0,0,0,0,1,0,0,0,0,0
健康数値の良化健康の習慣化コミュニケーションの活性化など,0,0,0,0,0,0,0,0,1,0,0
そして「従業員のモチベーションアップ」「労働生産性の向上」や「大学のブランド価値向上」に繋げたいとのこと。,1,0,0,1,0,0,0,0,0,0,0
「平等」が原則の福利厚生でありながら、「頑張った人」へのモチベーションツールとしてのサンコレ開発,0,0,0,1,0,0,0,0,0,0,0
コミュニケーション活性と表彰制度に関連づけ、サンコレ（健康インセンティブ/100日プロジェクトを含む）を紹介すると興味をもって聞いていただいた。,0,0,0,1,0,0,0,0,1,0,0
利用する行員が偏っており、公平性の観点から是正したいとのこと。,0,0,0,0,0,0,1,0,0,0,0
社内周知が思ったようにできなかった定着が低い,0,0,0,0,0,0,0,0,0,1,0
企業CSRの観点からも、地域活性と絡めたイベントを実施、社外に発信していきたい考えがある。,1,0,0,0,0,0,0,0,0,0,0
問い合わせのきっかけは、今まではすべて自社内で完結する風土だったが、業務が自社で完結できなくなってきた為、OS会社に頼ろうとしている（各種受付業務等含め）。,0,0,1,0,0,0,0,0,0,0,0
「え」導入により現行制度を再構築することで、より多くの社員が利用したくなる公平性のある制度が実現できる旨をプレゼンしたところ好感触。,0,0,0,0,0,0,1,0,0,0,0
2017年2月に健康経営優良法人（ホワイト500）に選定され、社会課題に対応している,0,0,0,0,0,1,0,0,0,0,0
健康経営などの社会課題への対応から入り、オーナーが抱える課題が解決できるような,0,0,0,0,0,1,0,0,0,0,0
本社でのスポーツクラブの利用が約3倍になっており、健康経営の面からもアピールしたいとのこと。,0,0,0,0,0,1,0,0,0,0,0
も兼任することになり、会社としても健康経営に力を入れ始めるとのこと。,0,0,0,0,0,1,0,0,0,0,0
健康経営に関して会社として健康経営に本格的に力を入れることになり、健診代行、診断結果のデータ管理分析、診断結果の改善点に対するポイント付与など、全て一括で管理できるようなシステムに移行を検討している。,0,0,0,0,0,1,0,0,0,0,0
インセンティブポイントだけでも2019年度途中から導入を検討しているため、コストとスピード感が知りたい（健康だけでなく働き方改革も絡めたポイント制度を検討）,0,0,0,0,0,0,0,1,0,0,0
福利厚生担当者（斉木様）より、会社で健康経営に力を入れ始めるため、カフェの仕組みを活用したい、JBFとして健康サービスは何ができるのかとご相談をいただく。,0,0,0,0,0,1,0,0,0,0,0
１、健康経営の取組みにより実現したいことは？,0,0,0,0,0,1,0,0,0,0,0
350の拠点の10拠点を回り、健康経営の推進を図っている。,0,0,0,0,0,1,0,0,0,0,0
但し、商品コンセプトである「健康経営の実践にまず、健康意欲向上健康風土醸成からはじめる」ことには、とても共感された。,0,0,0,0,0,1,0,0,0,0,0
最近では働き方改革の動きに合わせて、働きやすさを提供する福利厚生制度の整備に加え、働き甲斐提供するインセンティブプログラムなどで、多くの企業様からの問い合わせも増えております。,0,0,0,0,0,0,0,1,0,0,0
その理由は、「顧客接点をどう持つべきか」、「顧客とのコミュニケーションの在り方」を現在検討している段階であるため。,0,0,0,0,0,0,0,0,1,0,0
ポイント対象メニューが「資格取得」「健康」「育児」「介護」系の真面目メニューのため「期間限定の旅行補助」仕事に必要な「メガネコンタクト補助」を入れることで利用率をアップできないか相談。,0,0,0,0,0,0,0,0,0,1,0
ポイント対象メニューが「資格取得」「健康」「育児」「介護」系の真面目メニューのため改めて「期間限定の旅行補助」、仕事に必要な「メガネコンタクト補助」を入れることで利用率をアップできないか相談。,0,0,0,0,0,0,0,0,0,1,0
離職防止、モチベーションアップ。,0,0,0,1,0,0,0,0,0,0,1
離職防止、モチベーションアップ。,0,0,0,1,0,0,0,0,0,0,1
内容：「健康経営」に力を入れており、12月から全従業員に対しウエアラブル端末を貸与。,0,0,0,0,0,1,0,0,0,0,0
内容：「健康経営」に力を入れており、12月から全従業員700名に対しウエアラブル端末を貸与。,0,0,0,0,0,1,0,0,0,0,0
社長が「健康経営」を目指しているため。,0,0,0,0,0,1,0,0,0,0,0
働き方改革の一環として、浮いた残業代を充て原資としたい意向あり,0,0,0,0,0,0,0,1,0,0,0
働き方改革残業是正浮いた残業代サンコレによる自己啓発,0,0,0,0,0,0,0,1,0,0,0
役員が「健康経営」を掲げたく、ついては何をやるべきかを知りたいとのこと,0,0,0,0,0,1,0,0,0,0,0
昨年健康経営の相談をした際B1から定期的に提案頂いていて健康経営（ポイント）も含め福利厚生制度もお願いすることにした。,0,0,0,0,0,1,0,0,0,0,0
具体的には、１５０名のパートアルバイトへのモチベーションアップや、４０名大卒と20名高卒の内定者囲い込み、ドライバーの安全運転や無事故手当や勤続年数に関すること。,0,0,0,1,0,0,0,0,0,0,0
企業であったが、昨今の余暇の充実や働き方改革といったフレーズに比較的若い社長が共感したとも考えられ、経緯はともかく比較に際し当社が呼ばれなかったのは事実であり、結果としてｾｰﾙｽ不足であった,0,0,0,0,0,0,0,1,0,0,0
販売スタッフは特にまとまった休暇が取れないことから、日々の生活で使えるメニューが充実していると多様なニーズにも応えられるという面で重要視。,1,0,0,0,0,0,0,0,0,0,0
サンコレおよび健康経営分野に関心あり、２NDセールス。,0,0,0,0,0,1,0,0,0,0,0
健康経営HABIDOおよびサンコレによる健康ポイントの提案,0,0,0,0,0,1,0,0,0,0,0
データヘルス計画や病気で亡くなっている組合員もあるため、さらに予防に関して力（補助）を入れていきたい考え。,0,0,0,0,0,1,0,0,0,0,0
また、フロアごとに部署が分かれているため、部署をまたいでのコミュニケーション活性化が課題。,0,0,0,0,0,0,0,0,1,0,0
担当者の業務削減と福利厚生制度の浸透、利用率アップできるものあれば検討したい,0,0,0,0,0,0,0,0,0,1,0
働き方改革のひとつで、グループ会社の負担を減らす動きあり,0,0,0,0,0,0,0,1,0,0,0
働き方改革のひとつで、グループ会社の負担を減らす動きあり,0,0,0,0,0,0,0,1,0,0,0
今後も働き方改革に関して、実務（即実行できる）内容のものを提供いただきたいとのこと,0,0,0,0,0,0,0,1,0,0,0
社員が公平に使えるような福利厚生がない,0,0,0,0,0,0,1,0,0,0,0
16年度春闘の際に保養所の利用率低迷を受け、組合から保養所の廃止及び福利厚生の充実要求が発生。,0,0,0,0,0,0,0,0,0,1,0
POLAの中で「健康経営」や「がんとの共生」は大きなテーマになっている。,0,0,0,0,0,1,0,0,0,0,0
健康経営のひとつとしたい。,0,0,0,0,0,1,0,0,0,0,0
サービスとして圧倒的に関心があるのは、健康と教育,0,1,0,0,0,0,0,0,0,0,0
健康経営を意識して社長による禁煙活動を社員に促しているとのこと（禁煙ガムなどを配布）。,0,0,0,0,0,1,0,0,0,0,0
組合員の方々のニーズを把握し、来年度の利用促進キャンペーンに活かす,0,0,0,0,0,0,0,0,0,1,0
OS化等の地域格差是正働き方支援、残業縮小等の働き方改革支援になっている状態。,0,0,0,0,0,0,0,1,0,0,0
セミナー：職員にとっても、育児介護ライフプランの情報がない（得る機会がない）ことが問題,0,1,0,0,0,0,0,0,0,0,0
セミナー：職員にとっても、育児介護ライフプランの情報がない（得る機会がない）ことが問題,0,1,0,0,0,0,0,0,0,0,0
先方の最大の目的は利用率の向上と組合員全員に対しての平等感,0,0,0,0,0,0,1,0,0,1,0
また、余るぐらいなら、とセミナーにも関心を持っていただけ、課題として存在するメンタルヘルス系セミナーであれば考えたい、とのお言葉も頂く。,0,0,0,0,0,1,0,0,0,0,0
OS導入のねらいは、職員のリフレッシュ、コミュニケーションの活性、人材の定着。,0,0,0,0,0,0,0,0,1,0,1
上申するにあたり、「費用対効果を可視化(離職率が○%低下、満足度○%向上など)することは困難なため、別の観点からアプローチしたいが、方向性が決まらない」とのこと。,0,0,1,0,0,0,0,0,0,0,0
昨年同様、別の制度導入に向け「え」に投資する余裕がない（風土改革で、勤務管理を手書き申請から、ICカードに切り替えなど）,0,0,0,0,0,0,0,0,1,0,0
また、働き方改革に非常に関心を抱いており、弊社が実際に取り組んでいる事例の質問を受けた。,0,0,0,0,0,0,0,1,0,0,0
現状の人事部の最重要課題は｢働き方改革｣。,0,0,0,0,0,0,0,1,0,0,0
働き方改革に連して、制度まわりの整備も急務で、OSの予算取りは「今年は例年よりも厳しい」との言葉あり。,0,0,0,0,0,0,0,1,0,0,0
健康、スキルアップのキーワードより、「ライザップ」「シックスパッド」「睡眠」等のセミナーを開催できる旨伝えると、興味ありの反応。,0,1,0,0,0,0,0,0,0,0,0
電気ガスの自由化に伴い、中部電力を競合とした価格競争が進んでおり社内的に経費削減傾向にある。,0,0,1,0,0,0,0,0,0,0,0
働き方改革の取り組みとしてライン業務内での業務改善における公募制を開始。,0,0,0,0,0,0,0,1,0,0,0
”ホワイト500”取得を命題に、健康経営を見直し中。,0,0,0,0,0,1,0,0,0,0,0
健康経営施策にひもづき、福利厚生の見直しの可能性あり,0,0,0,0,0,1,0,0,0,0,0
江田様は「時期尚早とのこと。業績報奨、働き方改革支援プログラムとしても目に見える形でポイントを付与することで会社の目指すべき方向性が社員に違って伝わる可能性があり慎重に考えたい。カファテリアプランなどについては今後考えていきたい。健保は業界健保に所属しており、メタボでの切り口のポイントについては理解はするが当社には当てはまらないとのこと。」,0,0,0,0,0,0,0,1,0,0,0
上記プランは２０１９年度予算を大きく下回りましたので、健康経営にも併せて取り組める、同社のスタンダードネクストコース（※）を第一補として提案し、承認となりました。,0,0,0,0,0,1,0,0,0,0,0
低迷している利用率を上げるための施策として、現在利用0件の育児補助券を廃止し、映画補助300500円引き上げ案を提示。,0,0,0,0,0,0,0,0,0,1,0
健康経営グループを2017年秋に立ち上げた。,0,0,0,0,0,1,0,0,0,0,0
会社として健康と教育は力を入れている。,0,1,0,0,0,0,0,0,0,0,0
ただし、和歌山地区の人口が減少していく中、金庫として生き残るために、優秀な人材の確保や現職員のモチベーション、モラルアップは必須と感じている。,0,0,0,1,0,0,0,0,0,0,0
現在、残業削減働き方改革の推進し、従業員の福利厚生を充実させていきたいとのこと。,0,0,0,0,0,0,0,1,0,0,0
保養所の利用もなく、個人のニーズが多様化していることもあり総務で福利厚生の情報を集めたいという話になる。,1,0,0,0,0,0,0,0,0,0,0
過去にＲ社が来て検討を進めたことがあったがサービスの地域間格差による不公平感を払拭できず頓挫した経緯あり。,0,0,0,0,0,0,1,0,0,0,0
アンケートに基づき健康経営を主テーマに初訪問。,0,0,0,0,0,1,0,0,0,0,0
代案として働き方改革の視点から(ノー残業ボイントなど)、新卒採用面接での人を大切にする企業としてのアピール(年休の早期取得ボイント)、社用車事故の撲滅意識の向上(無事故ボイント)等にポイント付与でスタートする事で決着。,0,0,0,0,0,0,0,1,0,0,0
働き方改革の一環としてまた人材確保の観点から「え」「サンコレ」について紹介するも全く興味を示していただけず。,0,0,0,0,0,0,0,1,0,0,0
前回「働き方改革」と絡めてサンコレ紹介,0,0,0,0,0,0,0,1,0,0,0
